N Estimator,Jumlah Fitur,Nilai Akurasi
100,230,0.7543859649122807
100,231,0.7649122807017544
100,232,0.7649122807017544
100,233,0.7684210526315789
100,234,0.7508771929824561
100,235,0.7473684210526316
100,236,0.7578947368421053
100,237,0.7578947368421053
100,238,0.7543859649122807
100,239,0.7473684210526316
100,240,0.775438596491228
100,241,0.7649122807017544
100,242,0.7789473684210526
100,243,0.7789473684210526
100,244,0.7543859649122807
100,245,0.7614035087719299
100,246,0.7508771929824561
100,247,0.7403508771929824
100,248,0.7649122807017544
100,249,0.7543859649122807
100,250,0.7473684210526316
100,251,0.7649122807017544
100,252,0.7649122807017544
100,253,0.7789473684210526
100,254,0.7684210526315789
100,255,0.7578947368421053
100,256,0.7649122807017544
100,257,0.7403508771929824
100,258,0.7508771929824561
100,259,0.7508771929824561
101,230,0.7614035087719299
101,231,0.7368421052631579
101,232,0.7964912280701755
101,233,0.7649122807017544
101,234,0.7403508771929824
101,235,0.7508771929824561
101,236,0.7543859649122807
101,237,0.7719298245614035
101,238,0.7719298245614035
101,239,0.7614035087719299
101,240,0.7578947368421053
101,241,0.7614035087719299
101,242,0.7649122807017544
101,243,0.7719298245614035
101,244,0.7649122807017544
101,245,0.7614035087719299
101,246,0.7789473684210526
101,247,0.7543859649122807
101,248,0.7894736842105263
101,249,0.7228070175438597
101,250,0.743859649122807
101,251,0.7578947368421053
101,252,0.775438596491228
101,253,0.7859649122807018
101,254,0.7473684210526316
101,255,0.7964912280701755
101,256,0.7684210526315789
101,257,0.743859649122807
101,258,0.743859649122807
101,259,0.7473684210526316
102,230,0.7543859649122807
102,231,0.7298245614035088
102,232,0.7543859649122807
102,233,0.7719298245614035
102,234,0.7684210526315789
102,235,0.7403508771929824
102,236,0.7403508771929824
102,237,0.7508771929824561
102,238,0.7508771929824561
102,239,0.7578947368421053
102,240,0.7578947368421053
102,241,0.7649122807017544
102,242,0.7543859649122807
102,243,0.7368421052631579
102,244,0.7894736842105263
102,245,0.7578947368421053
102,246,0.7684210526315789
102,247,0.7649122807017544
102,248,0.7578947368421053
102,249,0.7473684210526316
102,250,0.7578947368421053
102,251,0.7649122807017544
102,252,0.7719298245614035
102,253,0.7403508771929824
102,254,0.7403508771929824
102,255,0.7684210526315789
102,256,0.7543859649122807
102,257,0.7719298245614035
102,258,0.7508771929824561
102,259,0.775438596491228
103,230,0.7789473684210526
103,231,0.7649122807017544
103,232,0.7543859649122807
103,233,0.7473684210526316
103,234,0.7473684210526316
103,235,0.743859649122807
103,236,0.7789473684210526
103,237,0.743859649122807
103,238,0.7543859649122807
103,239,0.7543859649122807
103,240,0.7614035087719299
103,241,0.7649122807017544
103,242,0.775438596491228
103,243,0.7789473684210526
103,244,0.7614035087719299
103,245,0.743859649122807
103,246,0.7929824561403509
103,247,0.7649122807017544
